,date,total_age_0_to_2,total_age_19_to_54,total_age_3_to_18,total_age_55_plus,total_age_anonymous,total_hh_visits,total_indivdiduals,total_weight
0,2023-07-19,0,0,0,1,0,1,1,1
1,2023-08-02,0,2,3,4,0,4,9,9
2,2023-08-03,0,3,0,3,0,5,6,6
3,2023-08-04,0,0,0,1,0,1,1,1
4,2023-08-05,0,6,3,3,0,3,12,12
5,2023-08-08,0,4,4,4,1,5,13,13
6,2023-08-14,0,1,1,1,0,1,3,3
7,2023-08-16,0,2,0,7,0,9,9,9
8,2023-08-23,0,1,1,1,0,1,3,3
9,2023-08-29,3,31,15,16,0,26,65,65
10,2023-08-31,0,1,0,2,0,2,3,3
11,2023-09-04,0,3,3,1,0,2,7,7
12,2023-09-13,0,1,1,1,1,2,4,4
13,2023-09-16,0,1,1,4,1,4,7,7
14,2023-09-18,0,2,3,1,0,2,6,6
15,2023-09-23,0,1,0,4,0,3,5,5
16,2023-09-25,3,6,3,1,0,2,13,13
17,2023-10-05,0,0,4,0,0,1,4,4
18,2023-10-09,17,283,174,113,0,167,587,587
19,2023-10-10,22,128,91,31,0,81,272,272
20,2023-10-23,20,272,174,101,9,159,576,576
21,2023-10-24,13,165,117,33,0,87,328,328
22,2023-11-13,20,259,188,109,9,170,585,585
23,2023-11-14,18,199,140,38,0,90,395,395
